,frequency
russia viable if necessary,1
russia wanted you to,1
russia wants,1
russia wants to,1
other this early,1
russia wants to move,1
russia was,1
other this,1
other than trying to,1
russia was also,1
russia was also asking,1
russia was chatting,1
other than trying,1
russia was chatting with,1
russia was really,1
russia was really stressed,1
russia way,1
russia way to,1
other than that get,1
russia way to deal,1
russia well,1
russia well contained,1
other than that,1
russia which,1
other than supporting munich,1
other than supporting,1
russia which is,1
russia which is good,1
russia which is why,1
russia which wasn,1
russia wanted,1
russia viable if,1
russia to go deal,1
other this early in,1
russia to me,1
other way and,1
russia to serbia,1
other way,1
russia to sweeten,1
russia to sweeten the,1
russia told,1
russia told me,1
other units into position,1
russia told me that,1
russia told me you,1
russia too,1
russia too so,1
russia too so we,1
russia tough,1
russia tough that,1
russia tough that all,1
other units into,1
russia train,1
russia train now,1
russia train now haha,1
russia trying,1
russia trying to,1
russia trying to persuade,1
russia turkey,1
other units,1
russia turkey so,1
other two,1
russia turkey so do,1
otherwise it will,1
russia out of rum,1
russia out of,1
russia is silent which,1
russia is the only,1
russia is up,1
russia is up to,1
our attack on,1
our attack,1
russia is working with,1
russia isn,1
russia isn in,1
russia isn in position,1
russia isn making,1
our apparent squabble,1
our apparent,1
russia italy on,1
our amicable relationship,1
our amicable,1
russia italy on his,1
our alliance is getting,1
russia italy partnership,1
russia italy partnership right,1
russia italy turkey,1
our alliance is,1
our alliance if it,1
russia italy turkey vs,1
our alliance if,1
russia just,1
our alliance could last,1
our alliance could,1
russia just acting,1
russia just acting normally,1
russia is the,1
our attack on russia,1
russia just confirmed it,1
russia is silent,1
russia is busy it,1
russia is done,1
russia is going,1
russia is going to,1
russia is gone,1
russia is gonna,1
russia is gonna roll,1
our best channel to,1
our best channel,1
our best,1
russia is just,1
russia is just playing,1
our balancing power nor,1
russia is kinda,1
russia is kinda desperate,1
our balancing power,1
russia is makin,1
russia is makin our,1
russia is no,1
russia is no longer,1
russia is not,1
russia is not telling,1
russia is planning,1
our balancing,1
our attacks and threatening,1
russia is planning to,1
our attacks and,1
russia is probably moving,1
our attacks,1
russia just confirmed,1
our alliance and think,1
otherwise it will be,1
otherwise you,1
russia not to,1
russia not to try,1
russia offering,1
otherwise we might,1
russia offering them an,1
russia on,1
russia on good,1
russia on good enough,1
russia open,1
otherwise this game is,1
otherwise this game,1
otherwise so it,1
russia open to,1
russia open to the,1
otherwise so,1
russia or,1
russia or turkey,1
russia or turkey all,1
russia or turkey first,1
otherwise its probably disband,1
otherwise its probably,1
otherwise its,1
otherwise italy has serious,1
russia or turkey is,1
otherwise italy has,1
russia out,1
russia out from,1
russia out from the,1
otherwise italy,1
russia not realizing they,1
otherwise you ve,1
russia knows about,1
russia much do you,1
russia knows about our,1
our alliance,1
our actions,1
our ability to take,1
russia like everyone,1
russia like everyone kept,1
russia look,1
our ability to,1
russia looking,1
russia looking kinda,1
russia looking kinda scary,1
our ability,1
russia looks,1
russia looks like,1
our,1
ottomans and will gladly,1
ottomans and will,1
ottomans and,1
ottomans,1
russia looks like the,1
russia might,1
otoh there the other,1
otoh there the,1
otoh there,1
otoh,1
russia moves baltic,1
russia moves baltic into,1
russia much,1
russia much do,1
russia alliances never,1
our tripple alliance with,1
russia alliances,1
out how best,1
out how deep,1
rt,1
rt than,1
rt than wed,1
rt than wed planned,1
rt what,1
rt what would,1
rt what would you,1
out how best to,1
rude,1
rude but,1
rude but how,1
rude but how much,1
ruh,1
ruh bel ber,1
russia alliance is quite,1
ruh bel ber kie,1
ruh bel hol,1
ruh bel hol support,1
ruh bur,1
out how,1
ruh bur mun ruh,1
ruh bur nth,1
ruh bur nth lon,1
ruh bur par,1
ruh bur par den,1
ruh bur ruh,1
out half of the,1
out half of,1
out half,1
out how deep austria,1
row he might,1
row he,1
out how well,1
round lon,1
out in the future,1
round lon will,1
out in the,1
round maybe take,1
round maybe take bud,1
round which,1
round which does,1
round which does not,1
out in montana,1
out in,1
route,1
out imo,1
route because,1
out if you,1
out if wanna convince,1
route because it pretty,1
out if wanna,1
out if they can,1
out if they,1
out if munich is,1
routine of sharing,1
routine of sharing moves,1
out if munich,1
out if just go,1
out if just,1
row,1
out if,1
out how well austria,1
ruh currently be,1
ruh currently be displaced,1
out haha,1
ruhr and that will,1
out france,1
ruhr bur,1
out for the best,1
ruhr bur mun,1
ruhr bur mun pic,1
out for the,1
out for some time,1
out for some,1
out for me would,1
ruhr into,1
ruhr into belgium,1
ruhr into belgium and,1
out for me any,1
ruhr is,1
out for me,1
ruhr is decently,1
ruhr is decently likely,1
out for dinner etc,1
out for dinner,1
ruhr supports,1
ruhr supports netherlands,1
ruhr supports netherlands to,1
out for bit,1
ruhr to,1
ruhr to belgium,1
ruhr to belgium supported,1
ruhr to take,1
out for another couple,1
ruhr to take kiel,1
out france first,1
ruhr and that,1
ruh hol cuts,1
ruhr and munich,1
out given the builds,1
ruh is,1
ruh is still,1
ruh is still in,1
out given the,1
ruh mun kie,1
ruh mun kie ruh,1
out given,1
ruh probably to,1
out gal,1
out from under him,1
ruh sil mun,1
ruh sil mun what,1
ruh to,1
ruh to bel,1
out from under,1
out from the middle,1
out from the,1
out from,1
out france then going,1
ruh to bel with,1
ruh to support,1
out france then,1
ruh to support into,1
ruhr,1
ruhr and,1
out france first and,1
ruhr and berlin,1
ruhr and berlin to,1
out in the sandbox,1
out is,1
out is one,1
roll still,1
roll still be forced,1
roll the,1
roll the map,1
out of curiosity are,1
roll the map and,1
roll this,1
roll this game,1
roll this game think,1
roll with,1
roll with it,1
roll with it if,1
roll with the,1
out of curiosity,1
roll with the punches,1
roll with you,1
rom,1
out of control while,1
rom tys,1
out of control if,1
out of control,1
rom tys pie,1
rom tys pie mar,1
rom ven,1
rom which,1
out of burgundy,1
romania,1
out of bur can,1
out of bur,1
out of build,1
roll still be,1
roll over all of,1
out of bla,1
roll over all,1
out of either power,1
rn lol,1
road,1
road as,1
road as lesson,1
out of either,1
road map,1
road map goes,1
out of each other,1
robust defensive positions,1
robust defensive positions against,1
rock,1
rock and,1
out of each,1
out of denmark though,1
out of denmark,1
rock and roll with,1
rockin,1
out of curiosity why,1
rockin war is,1
rockin war is what,1
out of curiosity how,1
roll down the,1
out of curiosity did,1
roll down the rest,1
roll out,1
roll out or,1
roll out or if,1
roll over,1
out of budapest,1
out of belguim,1
out is one on,1
out longer than,1
room if,1
room if you,1
room if you want,1
room is,1
room is russia,1
room is russia would,1
room to,1
room to cooperate,1
room to cooperate against,1
out long term,1
roped,1
roped into,1
out long,1
roped into this,1
out just fine anyways,1
out just fine,1
roped into this game,1
ropes,1
ropes we,1
ropes we can,1
out just,1
ropes we can think,1
rotate,1
out italy and germany,1
rough time,1
rough time taking,1
out italy and,1
out italy,1
round,1
out longer,1
out longer than most,1
romania youd still,1
out more,1
romania youd still win,1
out of,1
rome all,1
out now if you,1
out now if,1
rome all of,1
rome all of that,1
rome isn,1
rome isn going,1
rome isn going to,1
out now,1
rome second,1
out never heard from,1
rome second option,1
out never heard,1
out never,1
rome second option would,1
rome to,1
rome to tunis,1
out my plans,1
rome to tunis nap,1
room,1
out my,1
out much better for,1
out much better,1
out more for you,1
room for,1
out more for,1
room for you,1
ruhr which,1
ruhr which doesn,1
ruhr which doesn exactly,1
rumania was not taken,1
rumanian,1
rumanian army,1
rumanian army to,1
rumanian army to cover,1
rumour,1
rumour has,1
out and you wont,1
out and you,1
out and wouldnt,1
rumour has it,1
rumour has it that,1
run,1
run and,1
out and see,1
run and turkey,1
run and turkey russia,1
run as,1
out and lock,1
out and hope it,1
run as an,1
run as an alliance,1
out and,1
out an agreement and,1
out an agreement,1
run away and you,1
run him,1
run him over,1
run him over and,1
out against both and,1
out ank,1
rumania was not,1
run my position,1
rumania was,1
rumania and presumably,1
rumania and presumably you,1
rumania and wed,1
rumania and wed have,1
rumania as,1
out as,1
rumania as that,1
rumania as that is,1
rumania btw,1
rumania btw didn,1
rumania btw didn suspect,1
rumania from,1
rumania from bulgaria,1
rumania from bulgaria you,1
out anything about what,1
rumania from ukraine,1
rumania if,1
rumania if it,1
rumania if it would,1
rumania into,1
rumania into gal,1
out anything about,1
out anything,1
rumania lost cause at,1
out ank rum,1
rumania then,1
rumania to,1
rumania to prove,1
rumania to prove point,1
run my,1
out against both,1
rumania,1
ruse,1
ruse but,1
ruse but im,1
ruse but im hopeful,1
our work easy,1
ruse is,1
ruse is already,1
ruse is already flimsy,1
rush,1
rush losing,1
rush losing ank,1
rush losing ank or,1
russia,1
russia about,1
russia about swapping,1
our west,1
our weaker,1
russia about swapping rum,1
our units due to,1
our units,1
russia about the south,1
our two way and,1
our two way,1
russia against germany,1
russia against germany and,1
our two,1
russia agree to,1
russia agree to leave,1
russia alliance,1
russia alliance is,1
our work easy with,1
runs out and wouldnt,1
out about in my,1
runs out and,1
out about in,1
out about,1
out,1
run the largest,1
run the largest only,1
run though,1
runaway,1
runaway power,1
runaway power mode,1
runaway power mode so,1
running,1
ourselves on the offensive,1
running away with,1
running away with it,1
running damage,1
ourselves on,1
ourselves,1
running damage control for,1
running my,1
running my moves,1
running my moves by,1
running out,1
running out of,1
running out of potential,1
running the,1
running the longer,1
running the longer escape,1
runs,1
runs out,1
rumania and,1
out as soon,1
ruhr will,1
rum at,1
rum at the same,1
rum but,1
rum but ll,1
out doing this one,1
rum but ll attack,1
rum but that,1
out doing this,1
out doing,1
rum correct,1
rum gal,1
rum gal to,1
rum gal to back,1
rum have,1
rum have to,1
rum have to cover,1
out did you get,1
